n_uh,local,gcl,regiao,zona,wwr_norte,wwr_leste,wwr_sul,wwr_oeste,area_par_exp_norte,area_par_exp_leste,area_par_exp_sul,area_par_exp_oeste,area_zona,ct_par_ext,u_par_ext,ct_cob,u_cob,u_vid,fs_vid,tipo_pav,pedireito,abspar,abscob,tamanhoprojecao,hpav,veneziana,hjan,openfac,pilotis,exp_pis,exp_cob
1,sao.paulo_sp,1a,sudeste,0,0,0,0.388,0.259,0,0,4.125,4.625,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.407,0,1,0
1,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,0,7.375,7.625,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
1,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,7.625,7.025,0,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
2,sao.paulo_sp,1a,sudeste,0,0,0.259,0.388,0,0,4.625,4.125,0,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.407,0,1,0
2,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,7.625,7.375,0,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
2,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,0,7.025,7.625,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
3,sao.paulo_sp,1a,sudeste,0,0.388,0.259,0,0,4.125,4.625,0,0,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.407,0,1,0
3,sao.paulo_sp,1a,sudeste,1,0.195,0,0,0,7.375,7.625,0,0,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
3,sao.paulo_sp,1a,sudeste,1,0.205,0,0,0,7.025,0,0,7.625,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
4,sao.paulo_sp,1a,sudeste,0,0.388,0,0,0.259,4.125,0,0,4.625,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.407,0,1,0
4,sao.paulo_sp,1a,sudeste,1,0.195,0,0,0,7.375,0,0,7.625,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
4,sao.paulo_sp,1a,sudeste,1,0.205,0,0,0,7.025,7.625,0,0,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,0,0,0.48,0.45,0,1,0
5,sao.paulo_sp,1a,sudeste,0,0,0,0.388,0.259,0,0,4.125,4.625,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.407,0,0,0
5,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,0,7.375,7.625,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
5,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,7.625,7.025,0,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
6,sao.paulo_sp,1a,sudeste,0,0,0.259,0.388,0,0,4.625,4.125,0,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.407,0,0,0
6,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,7.625,7.375,0,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
6,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,0,7.025,7.625,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
7,sao.paulo_sp,1a,sudeste,0,0.388,0.259,0,0,4.125,4.625,0,0,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.407,0,0,0
7,sao.paulo_sp,1a,sudeste,1,0.195,0,0,0,7.375,7.625,0,0,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
7,sao.paulo_sp,1a,sudeste,1,0.205,0,0,0,7.025,0,0,7.625,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
8,sao.paulo_sp,1a,sudeste,0,0.388,0,0,0.259,4.125,0,0,4.625,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.407,0,0,0
8,sao.paulo_sp,1a,sudeste,1,0.195,0,0,0,7.375,0,0,7.625,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
8,sao.paulo_sp,1a,sudeste,1,0.205,0,0,0,7.025,7.625,0,0,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,2.5,0,0.48,0.45,0,0,0
9,sao.paulo_sp,1a,sudeste,0,0,0,0.388,0.259,0,0,4.125,4.625,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.407,0,0,0
9,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,0,7.375,7.625,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.45,0,0,0
9,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,7.625,7.025,0,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.45,0,0,0
10,sao.paulo_sp,1a,sudeste,0,0,0.259,0.388,0,0,4.625,4.125,0,23.2635,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.407,0,0,0
10,sao.paulo_sp,1a,sudeste,1,0,0,0.195,0,0,7.625,7.375,0,8.9975,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.45,0,0,0
10,sao.paulo_sp,1a,sudeste,1,0,0,0.205,0,0,0,7.025,7.625,8.5705,3,4.4,3,0,5.7,0.87,1,2.5,0.6,0,0,5,0,0.48,0.45,0,0,0
