gcl,a_menor_25_0,a_menor_25_1,a_maior_igual_25_0,a_maior_igual_25_1,b_menor_25_0,b_menor_25_1,b_maior_igual_25_0,b_maior_igual_25_1
-1,55,75,70,70,35,50,40,45
-2,55,75,70,70,35,50,40,45
2,75,70,75,70,45,45,50,45
3,75,70,75,70,45,45,50,45
4,75,70,75,70,45,45,50,45
5,50,70,60,70,30,40,35,40
6,50,70,60,70,30,40,35,40
7,50,70,65,70,30,40,40,40
8,50,70,65,70,30,40,40,40
9,50,70,60,65,25,40,35,40
10,55,75,65,70,30,45,35,40
11,45,70,55,70,25,40,30,40
12,45,70,55,70,25,40,30,40
13,40,60,50,65,20,30,25,35
14,40,60,50,65,20,30,25,35
15,35,55,50,60,20,30,25,35
16,35,55,50,60,20,30,25,35
17,30,35,35,45,15,20,20,20
18,25,35,35,40,15,20,20,20
19,30,35,35,40,15,20,20,20
20,30,35,35,40,15,20,20,20
21,30,40,40,45,15,20,20,25
22,30,40,40,45,15,20,20,25
23,30,40,35,45,15,20,20,25
24,30,40,35,45,15,20,20,25
